Time [s],Strain,Stress [MPa],Displacement [nm],Load [mN]
23.25,0.01938908,244.9030881,110.5177569,1.4440601
23.3,0.019445322,245.604895,110.8383374,1.448198273
23.35,0.019513015,253.1229377,111.2241854,1.492528075
23.4,0.019599101,255.6854128,111.714878,1.507637595
23.45,0.01944367,254.7980779,110.8289188,1.502405465
23.5,0.019651727,258.4611723,112.0148415,1.524004737
23.55,0.019676262,257.0675258,112.154691,1.515787163
23.6,0.019663215,257.0484278,112.0803257,1.515674552
23.65,0.019694496,257.6648741,112.2586286,1.5193094
23.7,0.019695726,258.153638,112.2656369,1.522191374
23.75,0.019910261,260.502508,113.4884863,1.536041381
23.8,0.019821628,261.2521789,112.9832824,1.540461782
23.85,0.019891074,263.0366417,113.379124,1.550983787
23.9,0.019978844,257.3103373,113.87941,1.51721889
23.95,0.019907102,256.6275967,113.4704792,1.51319314
24,0.019968449,257.1314367,113.8201612,1.516164011
24.05,0.019953661,258.433888,113.7358697,1.523843856
24.1,0.020102597,260.9691368,114.5848028,1.538792837
24.15,0.020238938,265.9270581,115.3619458,1.568026998
24.2,0.020238666,265.4835597,115.3603986,1.56541193
24.25,0.020368354,264.8106438,116.09962,1.561444111
24.3,0.020240878,263.2763316,115.3730047,1.552397108
24.35,0.020278518,269.1098533,115.5875539,1.586794208
24.4,0.020320875,265.7958929,115.8289878,1.567253588
24.45,0.020358468,264.2479965,116.0432669,1.558126487
24.5,0.020521483,265.2797354,116.9724521,1.564210089
24.55,0.020418726,265.8053952,116.3867384,1.567309619
24.6,0.020595793,268.4764847,117.39602,1.583059578
24.65,0.020736006,268.9819912,118.1952322,1.586040275
24.7,0.020516602,267.1737692,116.9446312,1.575378174
24.75,0.020602958,268.8521948,117.4368609,1.585274936
24.8,0.020836286,269.6952489,118.7668315,1.590245967
